sec,nanosec,latitude,longitude,datetime
1749195185,354379,43.5140405,16.2502953,2025-06-06T07:33:05.000354+00:00
1749195185,250354237,43.5140404,16.2502953,2025-06-06T07:33:05.250354+00:00
1749195185,500354094,43.5140403,16.2502951,2025-06-06T07:33:05.500354+00:00
1749195185,750353952,43.5140403,16.2502951,2025-06-06T07:33:05.750354+00:00
1749195186,353810,43.5140403,16.2502952,2025-06-06T07:33:06.000354+00:00
1749195186,250353667,43.5140403,16.2502953,2025-06-06T07:33:06.250354+00:00
1749195186,500353525,43.5140403,16.2502954,2025-06-06T07:33:06.500354+00:00
1749195186,750353383,43.5140402,16.2502956,2025-06-06T07:33:06.750353+00:00
1749195187,353240,43.5140402,16.2502956,2025-06-06T07:33:07.000353+00:00
1749195187,250353098,43.5140402,16.2502956,2025-06-06T07:33:07.250353+00:00
1749195187,500352956,43.5140402,16.2502955,2025-06-06T07:33:07.500353+00:00
1749195187,750352813,43.5140402,16.2502954,2025-06-06T07:33:07.750353+00:00
1749195188,352671,43.5140402,16.2502953,2025-06-06T07:33:08.000353+00:00
1749195188,250352529,43.5140401,16.2502954,2025-06-06T07:33:08.250353+00:00
1749195188,500352387,43.5140401,16.2502955,2025-06-06T07:33:08.500352+00:00
1749195188,750352244,43.5140401,16.2502957,2025-06-06T07:33:08.750352+00:00
1749195189,352102,43.5140400,16.2502958,2025-06-06T07:33:09.000352+00:00
1749195189,250351960,43.5140399,16.2502958,2025-06-06T07:33:09.250352+00:00
1749195189,500351817,43.5140399,16.2502958,2025-06-06T07:33:09.500352+00:00
1749195189,750351675,43.5140398,16.2502957,2025-06-06T07:33:09.750352+00:00
1749195190,351533,43.5140397,16.2502957,2025-06-06T07:33:10.000351+00:00
1749195190,250351390,43.5140395,16.2502956,2025-06-06T07:33:10.250351+00:00
1749195190,500351248,43.5140395,16.2502956,2025-06-06T07:33:10.500351+00:00
1749195190,750351105,43.5140394,16.2502956,2025-06-06T07:33:10.750351+00:00
1749195191,350963,43.5140393,16.2502956,2025-06-06T07:33:11.000351+00:00
1749195191,250350821,43.5140392,16.2502955,2025-06-06T07:33:11.250351+00:00
1749195191,500350678,43.5140391,16.2502956,2025-06-06T07:33:11.500351+00:00
1749195191,750350536,43.5140391,16.2502956,2025-06-06T07:33:11.750350+00:00
1749195192,350393,43.5140390,16.2502957,2025-06-06T07:33:12.000350+00:00
1749195192,250350251,43.5140389,16.2502956,2025-06-06T07:33:12.250350+00:00
1749195192,500350109,43.5140388,16.2502955,2025-06-06T07:33:12.500350+00:00
1749195192,750349966,43.5140388,16.2502955,2025-06-06T07:33:12.750350+00:00
1749195193,349824,43.5140387,16.2502955,2025-06-06T07:33:13.000350+00:00
1749195193,250349681,43.5140388,16.2502957,2025-06-06T07:33:13.250350+00:00
1749195193,500349539,43.5140388,16.2502957,2025-06-06T07:33:13.500350+00:00
1749195193,750349397,43.5140387,16.2502958,2025-06-06T07:33:13.750349+00:00
1749195194,349254,43.5140387,16.2502959,2025-06-06T07:33:14.000349+00:00
1749195194,250349112,43.5140387,16.2502960,2025-06-06T07:33:14.250349+00:00
1749195194,500348969,43.5140386,16.2502960,2025-06-06T07:33:14.500349+00:00
1749195194,750348827,43.5140386,16.2502959,2025-06-06T07:33:14.750349+00:00
1749195195,348684,43.5140386,16.2502958,2025-06-06T07:33:15.000349+00:00
1749195195,250348542,43.5140385,16.2502958,2025-06-06T07:33:15.250349+00:00
1749195195,500348399,43.5140385,16.2502959,2025-06-06T07:33:15.500348+00:00
1749195195,750348257,43.5140386,16.2502961,2025-06-06T07:33:15.750348+00:00
1749195196,348114,43.5140386,16.2502961,2025-06-06T07:33:16.000348+00:00
1749195196,250347972,43.5140386,16.2502960,2025-06-06T07:33:16.250348+00:00
1749195196,500347830,43.5140385,16.2502959,2025-06-06T07:33:16.500348+00:00
1749195196,750347687,43.5140385,16.2502958,2025-06-06T07:33:16.750348+00:00
1749195197,347545,43.5140384,16.2502958,2025-06-06T07:33:17.000348+00:00
1749195197,250347402,43.5140384,16.2502959,2025-06-06T07:33:17.250347+00:00
1749195197,500347260,43.5140385,16.2502960,2025-06-06T07:33:17.500347+00:00
1749195197,750347117,43.5140385,16.2502961,2025-06-06T07:33:17.750347+00:00
1749195198,346975,43.5140384,16.2502961,2025-06-06T07:33:18.000347+00:00
1749195198,250346832,43.5140385,16.2502961,2025-06-06T07:33:18.250347+00:00
1749195198,500346690,43.5140384,16.2502959,2025-06-06T07:33:18.500347+00:00
1749195198,750346547,43.5140384,16.2502957,2025-06-06T07:33:18.750347+00:00
1749195199,346405,43.5140384,16.2502957,2025-06-06T07:33:19.000346+00:00
1749195199,250346262,43.5140384,16.2502957,2025-06-06T07:33:19.250346+00:00
1749195199,500346120,43.5140385,16.2502957,2025-06-06T07:33:19.500346+00:00
1749195199,750345977,43.5140385,16.2502957,2025-06-06T07:33:19.750346+00:00
1749195200,345835,43.5140386,16.2502958,2025-06-06T07:33:20.000346+00:00
1749195200,250345692,43.5140385,16.2502958,2025-06-06T07:33:20.250346+00:00
1749195200,500345550,43.5140386,16.2502957,2025-06-06T07:33:20.500345+00:00
1749195200,750345407,43.5140385,16.2502957,2025-06-06T07:33:20.750345+00:00
1749195201,345265,43.5140386,16.2502956,2025-06-06T07:33:21.000345+00:00
1749195201,250345122,43.5140386,16.2502957,2025-06-06T07:33:21.250345+00:00
1749195201,500344979,43.5140387,16.2502957,2025-06-06T07:33:21.500345+00:00
1749195201,750344837,43.5140387,16.2502958,2025-06-06T07:33:21.750345+00:00
1749195202,344694,43.5140387,16.2502958,2025-06-06T07:33:22.000345+00:00
1749195202,250344552,43.5140387,16.2502958,2025-06-06T07:33:22.250345+00:00
1749195202,500344409,43.5140388,16.2502958,2025-06-06T07:33:22.500345+00:00
1749195202,750344266,43.5140388,16.2502957,2025-06-06T07:33:22.750344+00:00
