mmsi,latitude,longitude,header_sec,header_nanosec,bag_name
238134010,43.385495,16.188455,1749302946,143862513,blue_lagoon_imu
538072144,43.38398333333333,16.186713333333334,1749302946,623144010,blue_lagoon_imu
238702640,43.51466,16.231601666666666,1749302946,782941193,blue_lagoon_imu
238066340,43.46827833333333,16.223421666666667,1749302947,231036735,blue_lagoon_imu
238529240,43.51447666666667,16.236171666666667,1749302950,654655177,blue_lagoon_imu
238850640,43.449731666666665,16.194931666666665,1749302951,470847778,blue_lagoon_imu
238613410,43.472851666666664,16.301183333333334,1749302954,301526561,blue_lagoon_imu
238134010,43.384998333333336,16.18854,1749302955,213478398,blue_lagoon_imu
238066340,43.468048333333336,16.22379,1749302957,181513067,blue_lagoon_imu
238107340,43.45887666666667,16.217238333333334,1749302972,490480666,blue_lagoon_imu
238858440,43.461558333333336,16.23364,1749302972,682329846,blue_lagoon_imu
238605740,43.47183,16.201456666666665,1749302972,970302442,blue_lagoon_imu
261034450,43.46093166666667,16.239328333333333,1749302987,46941433,blue_lagoon_imu
238066340,43.467346666666664,16.224886666666666,1749302987,159133240,blue_lagoon_imu
203245328,43.41199666666667,16.163716666666666,1749302987,558994245,blue_lagoon_imu
238107340,43.45859166666666,16.217433333333332,1749302987,990687840,blue_lagoon_imu
238702640,43.514665,16.231583333333333,1749302988,407118161,blue_lagoon_imu
238396340,43.51503666666667,16.231081666666668,1749302989,718487206,blue_lagoon_imu
244029246,91.0,181.0,1749302993,109849455,blue_lagoon_imu
203247262,43.41159,16.171276666666667,1749302994,389566873,blue_lagoon_imu
238134010,43.38287,16.189071666666667,1749302995,445331964,blue_lagoon_imu
538072144,43.38637833333333,16.187056666666667,1749302995,557381881,blue_lagoon_imu
238322040,43.51459833333333,16.231685,1749302996,645103177,blue_lagoon_imu
238702640,43.51466166666667,16.231586666666665,1749302997,524881400,blue_lagoon_imu
238066340,43.46707166666667,16.225325,1749302998,757139107,blue_lagoon_imu
238107340,43.45827166666667,16.217651666666665,1749303003,235643616,blue_lagoon_imu
238605740,43.471325,16.20109666666667,1749303003,795663735,blue_lagoon_imu
238858440,43.46098,16.23453,1749303004,387367491,blue_lagoon_imu
256002779,43.480691666666665,16.234861666666667,1749303005,251415660,blue_lagoon_imu
238613410,43.47307833333333,16.304028333333335,1749303006,163115786,blue_lagoon_imu
538072144,43.3869,16.187123333333332,1749303006,626846564,blue_lagoon_imu
238322040,43.51459833333333,16.231683333333333,1749303007,122901537,blue_lagoon_imu
238066340,43.46688666666667,16.225618333333333,1749303007,234617030,blue_lagoon_imu
238850640,43.4477,16.1939,1749303010,418063441,blue_lagoon_imu
238396340,43.51503,16.231095,1749303010,706103017,blue_lagoon_imu
238613410,43.47311,16.304465,1749303014,305422779,blue_lagoon_imu
538072144,43.387315,16.18719,1749303015,265760660,blue_lagoon_imu
203245328,43.411791666666666,16.164645,1749303016,65389438,blue_lagoon_imu
238322040,43.51459833333333,16.23168,1749303016,576958591,blue_lagoon_imu
238066340,43.46666,16.225988333333333,1749303017,184731539,blue_lagoon_imu
238858440,43.46071333333333,16.23492,1749303017,872977468,blue_lagoon_imu
238107340,43.45769666666666,16.218036666666666,1749303032,485754888,blue_lagoon_imu
238613410,43.473213333333334,16.305573333333335,1749303035,285002256,blue_lagoon_imu
538072144,43.388261666666665,16.187365,1749303036,549224433,blue_lagoon_imu
238066340,43.466195,16.226783333333334,1749303037,509044014,blue_lagoon_imu
238850640,43.446733333333334,16.193381666666667,1749303038,469062409,blue_lagoon_imu
538072144,43.388646666666666,16.187431666666665,1749303045,187794842,blue_lagoon_imu
238201000,43.40256333333333,16.416125,1749303046,226914022,blue_lagoon_imu
203245328,43.41155833333333,16.165666666666667,1749303046,514925075,blue_lagoon_imu
238066340,43.46599666666667,16.227133333333335,1749303047,155516725,blue_lagoon_imu
238858440,43.46015666666667,16.235743333333332,1749303047,556203914,blue_lagoon_imu
238702640,43.51466833333333,16.231593333333333,1749303047,794497411,blue_lagoon_imu
203247262,43.41096666666667,16.173483333333333,1749303054,385427314,blue_lagoon_imu
538072144,43.38906,16.18751,1749303055,553141561,blue_lagoon_imu
238066340,43.465738333333334,16.227593333333335,1749303058,752311773,blue_lagoon_imu
238107340,43.45706,16.218448333333335,1749303063,231395450,blue_lagoon_imu
238605740,43.470303333333334,16.20042,1749303063,791233951,blue_lagoon_imu
238858440,43.45984333333333,16.236238333333333,1749303064,415060803,blue_lagoon_imu
538072144,43.38946,16.187593333333332,1749303065,375370391,blue_lagoon_imu
238066340,43.465558333333334,16.2279,1749303067,230556985,blue_lagoon_imu
238396340,43.51504666666667,16.231088333333332,1749303070,701783717,blue_lagoon_imu
538072144,43.389846666666664,16.187686666666668,1749303075,260930542,blue_lagoon_imu
238066340,43.46534666666667,16.22829,1749303077,180397423,blue_lagoon_imu
203245328,43.41130833333333,16.166691666666665,1749303077,404751529,blue_lagoon_imu
238605740,43.469805,16.200086666666667,1749303092,697909747,blue_lagoon_imu
238066340,43.464681666666664,16.22942,1749303107,159042684,blue_lagoon_imu
238858440,43.45903,16.237465,1749303107,589973524,blue_lagoon_imu
238107340,43.45614666666667,16.219045,1749303107,989965917,blue_lagoon_imu
203247262,43.41032666666667,16.175646666666665,1749303114,884770100,blue_lagoon_imu
238613410,43.47360666666667,16.30978,1749303115,124658491,blue_lagoon_imu
